code,entity,n_years,year_start,year_end,S_floor,S_ceil,k,t_mid,v,R2
SLE,Sierra Leone,56,1967,2023,-0.8428275080832907,-0.217668822870472,0.4378196779741566,2003.990555090008,5.380442636546971,0.9765530167451656
SLV,El Salvador,74,1950,2023,-0.9088030605475022,-0.3095297998953992,0.4218091891476023,1994.24242851636,7.303591668614669,0.977307014882664
SOM,Somalia,74,1950,2023,-0.906037663120561,-0.0072377343231728,0.2379064617779614,2039.9264161678848,4.424348584456998,0.7087574712157169
SRB,Serbia,74,1950,2023,-0.7952821495620263,-0.0208149138113511,0.0309062252889892,1964.5662513202176,0.2355871216144459,0.9233036900705288
SSD,South Sudan,74,1950,2023,-0.8792218086159415,-3.4576741577458436e-20,0.0553103078956916,2031.727550813256,1.197943292378297,0.8611297018341807
STP,Sao Tome and Principe,74,1950,2023,-0.7466982354976593,-0.1900029842743798,0.1320693281205854,1974.516122051136,0.005,0.9700596955419604
SUR,Suriname,74,1950,2023,-0.6399256979617318,-0.1531818909598173,0.4512412928601189,1995.384714408815,18.528180313697703,0.9733532079747323
SVK,Slovakia,74,1950,2023,-1.236825076045832,-7.005361872599877e-23,0.1101452056894725,2008.1971870436037,19.999999999983384,0.8917054368633264
SVN,Slovenia,74,1950,2023,-0.812847982103288,-4.588514831781588e-23,0.0446735571652693,1967.8229481679907,0.6865744144259185,0.9816691736227224
SWE,Sweden,74,1950,2023,-0.9739999999999976,-0.0439587989996983,0.0628300676242968,1931.302172435028,5.353754201752987,0.9749909271804122
SWZ,Eswatini,74,1950,2023,-0.7200092277347091,-0.6566999605510048,0.9449694734777252,1974.106785290381,0.0050069876321545,0.5703107397721805
SYC,Seychelles,67,1950,2023,-0.5992914230139701,-0.1175445770333954,0.0728780872326566,1977.801679765832,0.005,0.9840843358137418
SYR,Syria,74,1950,2023,-0.9437747453600072,-0.6186730657104978,0.2040596360320215,1948.029949662668,8.091415873364856,0.9542244954309752
TCD,Chad,74,1950,2023,-0.8595639012253545,-0.3976109248282516,0.1096423744965587,2000.1779381233628,3.495313851070104,0.9131333996848526
TGO,Togo,73,1950,2023,-0.8546592625006325,-0.116726975662499,0.039879193558566,1977.792309352108,0.0050000000042679,0.9782226837407592
THA,Thailand,74,1950,2023,-0.8518195320107328,-0.2611617624506797,0.2652039124111617,1984.2136372953137,8.21362733341728,0.9850586273011734
